date,sale_price (EUR/MWh),buy_price (EUR/MWh)
01/01/2017 00:00,28.4,28.402
01/01/2017 01:00,28.17,28.172
01/01/2017 02:00,28.03,28.032
01/01/2017 03:00,28,28.002
01/01/2017 04:00,28.02,28.022
01/01/2017 05:00,28.14,28.142
01/01/2017 06:00,28.31,28.312
01/01/2017 07:00,28.09,28.092
01/01/2017 08:00,27.73,27.732
01/01/2017 09:00,28.28,28.282
01/01/2017 10:00,28.36,28.362
01/01/2017 11:00,28.52,28.522
01/01/2017 12:00,28.51,28.512
01/01/2017 13:00,28.74,28.742
01/01/2017 14:00,29.66,29.662
01/01/2017 15:00,30.38,30.382
01/01/2017 16:00,30.76,30.762
01/01/2017 17:00,30.93,30.932
01/01/2017 18:00,30.78,30.782
01/01/2017 19:00,30.51,30.512
01/01/2017 20:00,30.19,30.192
01/01/2017 21:00,29.94,29.942
01/01/2017 22:00,29.65,29.652
01/01/2017 23:00,29.36,29.362
02/01/2017 00:00,29.4,29.402
02/01/2017 01:00,28.91,28.912
02/01/2017 02:00,28.11,28.112
02/01/2017 03:00,28.24,28.242
02/01/2017 04:00,29.03,29.032
02/01/2017 05:00,30.43,30.432
02/01/2017 06:00,31.19,31.192
02/01/2017 07:00,31.53,31.532
02/01/2017 08:00,31.86,31.862
02/01/2017 09:00,31.84,31.842
02/01/2017 10:00,31.68,31.682
02/01/2017 11:00,31.67,31.672
02/01/2017 12:00,31.62,31.622
02/01/2017 13:00,31.66,31.662
02/01/2017 14:00,31.68,31.682
02/01/2017 15:00,31.85,31.852
02/01/2017 16:00,31.89,31.892
02/01/2017 17:00,31.85,31.852
02/01/2017 18:00,31.77,31.772
02/01/2017 19:00,31.62,31.622
02/01/2017 20:00,31.46,31.462
02/01/2017 21:00,31.31,31.312
02/01/2017 22:00,31.1,31.102
02/01/2017 23:00,30.89,30.892
03/01/2017 00:00,30.65,30.652
03/01/2017 01:00,30.37,30.372
03/01/2017 02:00,30.15,30.152
03/01/2017 03:00,30.14,30.142
03/01/2017 04:00,30.4,30.402
03/01/2017 05:00,30.75,30.752
03/01/2017 06:00,31.02,31.022
03/01/2017 07:00,31.58,31.582
03/01/2017 08:00,31.77,31.772
03/01/2017 09:00,31.42,31.422
03/01/2017 10:00,31.25,31.252
03/01/2017 11:00,30.82,30.822
03/01/2017 12:00,30.5,30.502
03/01/2017 13:00,30.21,30.212
03/01/2017 14:00,30.02,30.022
03/01/2017 15:00,29.71,29.712
03/01/2017 16:00,29.79,29.792
03/01/2017 17:00,29.9,29.902
03/01/2017 18:00,29.78,29.782
03/01/2017 19:00,29.56,29.562
03/01/2017 20:00,29.4,29.402
03/01/2017 21:00,29.4,29.402
03/01/2017 22:00,29.27,29.272
03/01/2017 23:00,28.46,28.462
04/01/2017 00:00,27.97,27.972
04/01/2017 01:00,27.95,27.952
04/01/2017 02:00,27.76,27.762
04/01/2017 03:00,27.75,27.752
04/01/2017 04:00,27.61,27.612
04/01/2017 05:00,27.87,27.872
04/01/2017 06:00,28.77,28.772
04/01/2017 07:00,29.68,29.682
04/01/2017 08:00,30.44,30.442
04/01/2017 09:00,30.44,30.442
04/01/2017 10:00,30.57,30.572
04/01/2017 11:00,30.62,30.622
04/01/2017 12:00,30.75,30.752
04/01/2017 13:00,30.68,30.682
04/01/2017 14:00,30.73,30.732
04/01/2017 15:00,30.84,30.842
04/01/2017 16:00,31.22,31.222
04/01/2017 17:00,31.47,31.472
04/01/2017 18:00,31.29,31.292
04/01/2017 19:00,31.15,31.152
04/01/2017 20:00,31.03,31.032
04/01/2017 21:00,30.96,30.962
04/01/2017 22:00,30.87,30.872
04/01/2017 23:00,30.44,30.442
05/01/2017 00:00,30.51,30.512
05/01/2017 01:00,30.23,30.232
05/01/2017 02:00,30,30.002
